customer_no,productions,tickets,revenues,days_last,days_max,days_mean,weekdays,weekends,email_engagement,email_unsubscribe,membership,years_member,membership_dropped,membership_downgraded,mosaic,fss,london,uk,proximity,churned
0,38,41,5701.15,70,245,35,0.29,0.71,0.4,N,I,5,N,N,X,X,N,N,C,0
1,18,36,263.5,41,1013,90,0.78,0.22,0.61,N,A,2,X,X,O,B,N,Y,B,1
2,22,24,417,70,364,74,0.68,0.32,0.56,N,I,5,N,N,A,F,Y,Y,A,0
3,23,27,1324.5,36,284,59,0.35,0.65,0.33,N,A,0,X,X,A,G,Y,Y,A,0
4,9,9,293,138,98,21,0.33,0.67,0.2,N,A,0,X,X,A,B,Y,Y,A,1
5,39,78,1864,40,503,41,1,0,0.34,N,A,2,X,X,B,F,N,Y,B,0
6,13,39,4453.98,28,358,100,0.69,0.31,0.23,N,I,5,N,N,A,F,Y,Y,A,1
7,25,25,1649,0,376,63,0.48,0.52,0.43,N,A,0,X,X,X,X,N,N,D,0
8,11,13,118,4,475,85,0.45,0.55,0.61,N,A,0,X,X,O,C,N,Y,B,0
9,36,69,2786,49,162,34,0.83,0.17,0.54,N,I,5,N,N,A,B,Y,Y,A,0
10,10,23,863,72,249,81,0.5,0.5,0.18,N,A,0,X,X,A,G,Y,Y,A,0
11,12,25,1300,357,365,115,0.92,0.08,0.72,N,I,5,N,N,B,F,N,Y,B,1
12,7,14,740,62,1002,214,0.43,0.57,0.06,N,I,5,N,N,F,H,N,Y,B,0
13,14,14,2645.5,26,853,113,0.36,0.64,0.82,N,A,0,X,X,B,F,N,Y,B,0
14,6,12,1248,309,463,219,1,0,0.37,N,A,0,X,X,C,F,N,Y,B,1
15,9,25,2743,126,371,184,0.78,0.22,0.36,N,A,0,X,X,A,B,Y,Y,A,0
16,6,13,689.2,126,644,295,0.5,0.5,0.69,N,A,0,X,X,O,B,N,Y,B,1
17,7,8,423.5,125,1107,234,1,0,0.23,N,A,3,X,X,A,F,N,Y,B,0
18,15,30,2397,96,422,102,0.73,0.27,0.71,N,I,5,N,N,E,N,N,Y,B,0
19,8,16,282,37,139,65,0.62,0.38,0.85,N,A,0,X,X,N,C,Y,Y,A,1
20,7,10,499,126,788,234,0.86,0.14,0.77,N,A,0,X,X,B,F,N,Y,B,0
21,8,8,108,309,287,157,0.88,0.12,0.34,N,A,0,X,X,N,I,N,Y,B,1
22,6,14,390,5,979,206,0.17,0.83,0.64,N,A,0,X,X,O,C,N,Y,B,1
23,15,16,916,26,358,99,0.6,0.4,0.9,N,A,0,X,X,B,M,N,Y,B,0
24,6,11,983,343,630,231,0.67,0.33,0.5,N,A,0,X,X,A,B,N,Y,B,1
25,29,34,1952,72,193,45,0.83,0.17,0.41,N,I,5,N,N,A,B,Y,Y,A,0
26,17,34,1960,70,280,97,0.71,0.29,0.69,N,G,5,N,N,B,M,N,Y,B,1
27,42,43,585,42,168,31,0.83,0.17,0.47,N,A,0,X,X,A,B,Y,Y,A,0
28,7,7,984,42,779,250,0.57,0.43,0.12,N,A,0,X,X,X,X,N,N,D,1
29,9,12,379,85,362,151,0.56,0.44,0.49,N,A,0,X,X,A,F,Y,Y,A,1
30,23,71,5969,95,312,66,0.48,0.52,0.6,N,A,0,X,X,A,B,Y,Y,A,0
31,7,12,173,92,422,234,0.57,0.43,0.08,N,A,0,X,X,A,B,Y,Y,A,1
32,9,9,1230,5,210,80,0.56,0.44,1,N,A,0,X,X,A,F,Y,Y,A,0
33,15,32,1507,8,218,82,0.4,0.6,0.21,N,A,0,X,X,A,G,Y,Y,A,0
34,29,42,3817,28,207,54,0.41,0.59,0.56,N,I,5,N,N,B,F,Y,Y,A,0
35,6,11,1624,34,897,237,0.17,0.83,0.43,N,A,0,X,X,C,F,N,Y,B,1
36,99,148,2231,63,110,16,0.81,0.19,0.79,N,I,5,N,N,A,M,Y,Y,A,0
37,9,10,607,42,204,80,0.44,0.56,0.5,N,A,0,X,X,A,B,N,Y,B,0
38,19,24,690,357,259,70,0.63,0.37,0.63,N,I,5,N,N,A,C,N,Y,B,0
39,10,18,206,125,645,164,0.6,0.4,0.4,N,A,0,X,X,A,K,Y,Y,A,1
40,6,13,1283,48,519,274,0.67,0.33,0.67,N,A,0,X,X,A,F,Y,Y,A,1
41,22,28,638.2,73,332,69,0.86,0.14,0.5,N,A,0,X,X,N,I,Y,Y,A,1
42,8,14,442,23,551,120,0.62,0.38,0.36,N,A,0,X,X,K,G,Y,Y,A,0
43,14,29,384,309,630,99,0.36,0.64,0.39,N,A,0,X,X,N,E,Y,Y,A,1
44,6,27,2486,70,718,236,0.83,0.17,0.58,N,I,5,N,N,A,B,Y,Y,A,0
45,21,35,877,48,278,69,0.52,0.48,0.83,N,A,0,X,X,A,F,Y,Y,A,0
46,7,22,3280,19,637,268,0.86,0.14,0.59,N,A,2,X,X,A,B,Y,Y,A,1
47,36,62,7546.5,22,224,39,0.67,0.33,0.1,N,I,4,N,N,X,X,N,N,C,0
48,18,36,1076,126,372,83,0,1,0.68,N,A,0,X,X,B,B,N,Y,B,1
49,15,40,4450,135,338,95,0.87,0.13,0.63,N,I,5,N,N,C,M,N,Y,B,0
50,7,18,1534,58,556,232,0.71,0.29,0.31,N,J,5,N,N,A,F,Y,Y,A,1
51,27,39,2896,42,258,61,0.3,0.7,0.33,N,I,5,N,N,E,M,N,Y,B,0
52,8,16,348,32,610,197,0.25,0.75,0.4,N,A,0,X,X,A,F,N,Y,B,0
53,8,9,371,189,539,206,1,0,0.67,N,G,5,N,N,A,M,Y,Y,A,1
54,10,20,797,125,280,113,0.6,0.4,0.31,N,A,0,X,X,A,G,Y,Y,A,0
55,14,24,495.5,324,369,96,0.71,0.29,0.27,N,A,0,X,X,A,B,Y,Y,A,0
56,36,88,5397,2,190,46,0.75,0.25,0.66,N,K,5,N,N,C,K,N,Y,B,0
57,6,8,637,42,1379,282,0,1,0.77,N,A,0,X,X,X,X,N,N,C,1
58,14,26,759,117,281,79,0.43,0.57,0.45,N,A,0,X,X,B,B,N,Y,B,0
59,16,31,5302,0,371,108,0.62,0.38,0.59,N,J,5,N,N,X,X,N,N,D,0
60,22,22,1591,42,364,75,0.64,0.36,0.78,N,I,5,N,N,A,M,N,Y,B,1
61,6,14,2254,28,407,220,0.67,0.33,0.5,N,I,3,N,N,A,F,Y,Y,A,1
62,7,11,641,23,748,185,0.86,0.14,0.32,N,A,0,X,X,A,F,Y,Y,A,1
63,32,66,4190.4,0,229,52,0.28,0.72,0.66,N,J,5,N,N,A,F,Y,Y,A,0
64,8,19,1520,42,378,223,0.12,0.88,0.42,N,A,0,X,X,A,B,Y,Y,A,1
65,12,26,1404,86,705,138,0.42,0.58,0.36,N,A,3,X,X,B,B,N,Y,B,1
66,12,21,3581,34,1196,145,0.67,0.33,0.49,N,J,5,N,N,B,M,N,Y,B,1
67,7,8,696.5,162,288,139,0.29,0.71,0.64,N,I,5,N,N,B,M,N,Y,B,0
